epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.052,2.42781,5.73863,2.29672,0.00165,0.7973,0.04598,0.00876,2.5767,6.56056,2.61623,0.000648148,0.000648148,0.000648148
2,262.577,2.31815,5.22813,2.29161,0.00151,0.72973,0.01159,0.00349,2.77316,7.00005,2.65607,0.00128878,0.00128878,0.00128878
3,376.673,2.24772,4.23713,2.20642,0.0101,0.09459,0.00406,0.0014,3.24895,9.85797,3.37913,0.00190301,0.00190301,0.00190301
4,504.079,2.38622,4.16731,2.24251,0.09132,0.06757,0.01984,0.00422,3.07689,8.98411,4.94745,0.0018812,0.0018812,0.0018812
5,608.934,2.46578,4.68783,2.33701,0.01278,0.17568,0.00669,0.00148,3.35837,85.509,6.38891,0.0018416,0.0018416,0.0018416
6,704.021,2.43871,4.46196,2.3803,0.05493,0.02703,0.00504,0.00128,3.09864,12.6027,3.61246,0.001802,0.001802,0.001802
7,804.374,2.40721,4.15882,2.3515,0.0235,0.05405,0.00684,0.00143,3.08902,13.1634,3.94276,0.0017624,0.0017624,0.0017624
8,891.128,2.56313,4.39886,2.44467,0.04178,0.08108,0.00912,0.00218,3.17228,21.3175,4.11134,0.0017228,0.0017228,0.0017228
9,987.95,2.50669,3.98873,2.3399,0.00878,0.05405,0.00578,0.00137,3.15109,16.3263,3.93068,0.0016832,0.0016832,0.0016832
10,1398.18,2.41284,3.87195,2.32087,0.01399,0.02703,0.00613,0.00131,3.18169,24.0511,3.79655,0.0016436,0.0016436,0.0016436
11,1537.35,2.424,3.84136,2.29026,0.01743,0.04054,0.00642,0.001,3.39935,40.3869,4.43816,0.001604,0.001604,0.001604
12,1675.02,2.3973,3.66114,2.35748,0.0102,0.17568,0.00679,0.00176,3.04446,10.156,3.49481,0.0015644,0.0015644,0.0015644
13,1818.57,2.37511,3.75084,2.33989,0.03914,0.06757,0.01605,0.0033,2.9226,6.38661,2.98365,0.0015248,0.0015248,0.0015248
